1,cdl,hour,circuit,hour,gc,hour,hirodashboard,hour,melingo,hour,mothernist,hour,pilates,hour,solaredge,hour,split,hour,vidtur,hour,shenkar,hour
1,8,,8,,,,,,,,,,,,16,nofar,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,
5,8,,8,,,,,,,,,,,,8,brice,,brice,,,,
6,8,,8,,,,,,,,,,,,16,nofar,,,,,,
7,8,,8,,,,,,,,,,,,16,nofar|david,,,,,,
8,8,,8,,,,,,,,,,1,,8,david,3,brice,2,brice,,
9,8,,8,,,,,,,,,,,,16,,,brice,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,8,,8,,,,,,,,,,,,16,nofar|brice,,brice,,,,
13,8,,,,,,,,,,,,,,16,nofar|david|brice,,,,,,
14,8,,8,,,,,,,,4,david,,,16,nofar|david|brice,,,,,,
15,8,,8,,,,,,,,5,david,,,12,nofar|brice,,,1,brice,,
16,8,,8,,,,,,,,5,,,,12,nofar|brice,,,,,,
17,,,,,,,,,,,,,1,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
19,8,,8,,,,,,,,5,david,,,8,nofar|brice,,,,,,
20,8,,8,,,,5,amitai,,,5,david,,,8,nofar|brice,,,,,,
21,4,,8,,,,,,,,4,david,,,8,nofar|brice,,,,,2,yaron
22,,,8,,2,,,,4,,4,david,,,8,brice|amitai,,,,,8,yaron
23,,,8,,,,,,4,,,,,,,,,,,,8,yaron
24,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,
26,,,8,,,,,,8,,4,brice,,,2,brice,,david,,,,
27,,,8,,,,,,8,,4,david,,,4,brice|nofar,5,david,,,,
28,,,8,,,,,,,,4,david,,,4,brice,3,brice,,,,
29,,,8,,,,,,4,,4,,,,2,brice,1,,4,david,,
30,,,16,,4 - Syndicate,,,,,,1,,,,5,brice,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
