10,negawatt,hour,c4dp1,day,casper,hour,cri,hour,circuit,hour,cmssyndication,hour,ethosia,hour,hirodashboard,hour,hujiosheb,hour,hujiosresearch,hour,hujiosregistration,hour,ibli,hour,Melingo,PilatesTV,p4d,day,shenkar,hour,stamp,hour,taglitfellow,hour
1,8,carlos,,,,,8,helena,4,,,,24,itamar|yuri|david,,,,,,,,,8,,,,,,,,3,brice,8,itamar
2,8,carlos,,,,,8,helena,,,,,32,itamar|yuri|david,,,,,,,,,8,,,,,,,,,,8,itamar
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,carlos,,,1,ran,8,helena,,,,,20,itamar|david|yuri|carlos,,,,,8,,,,,,,,,,4,,,,8,itamar
6,14,carlos|shahar,,,,,8,helena,,,,,16,,,,,,,,8,ran,,,,,,,8,yuri,,,8,itamar
7,14,carlos|shahar,,,,,8,helena,,,,,16,itamar,,,4,,,,4,ran,8,,,,,,8,roy,,,8,itamar
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14,carlos|shahar,,,,,8,helena,8,,,,16,david|amir,,,,,3,,6,ran,8,,,,,,8,yuri|brice,,,8,itamar
13,8,carlos,,,,,8,helena,16,,,,12,david|amir,1,,8,,,,,,1,,,,8,,8,yuri|brice,,,8,itamar
14,16,carlos|shahar,,,,,8,helena,13,,,,13,david|amir,,,8,,,,,,1,,,,8,,,yuri,,,8,itamar
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brice,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8,carlos,,,,,16,helena|nader,14,yaron|amir,,,9,david|amir,,,,,,,,,,,,,,,8,,,,8,itamar
20,15,carlos|shahar,,,,,16,helena|nader,12,,,,5,amir,,,,,,,,,,,,,,,8,yuri,,,8,itamar
21,12,carlos|shahar,,,,,8,helena,3,,8,,6,amir,2,,,,,,,,,,,,,,8,,,,8,itamar
22,8,carlos,,,,,6.5,helena,3.5,,8,,4,amir,5,,,,,,,,,,,,,,8,yuri,,,8,itamar
23,11,carlos|shahar,,,,,,,1,,8,,16,amir,7,,,,,,,,,,,,,,8,yuri,,,8,itamar
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yuri,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12,carlos|shahar,0.5,,,,,,2,,8,yaron,8,,,,,,,,,,,,,,,,8,yuri|brice,,,0,
27,16,carlos|shahar,2.5,,,,,,6,brice,4,yaron,16,,,,,,,,,,,,,,,,10,yuri|brice,,,8,itamar
28,14,carlos|shahar,1.5,,,,,,2,brice,,,8,,,,,,,,,,,,,,,,8,,,,8,itamar
29,8,carlos|shahar,1,,,,,,3,brice,,,19,,,,,,,,,,,,,,,,8,,,,8,itamar
30,8,carlos|shahar,2,,,,,,2,brice,,,16,,,,,,,,,,,,,,,,8,,,,8,itamar
